Date/Time of Report: 3/18/2025 10:10:25,,,,,,,,
Requester: STN08 - Oper,,,,,,,,
Filter Applied: Event Time: Before 2/25/2025 12:19:58 PM,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: SERVERA,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
12:19:58,4500,KV_4503,CHANGE,,,devctla.gop,S0,
12:19:51,6200,VSP_C102,CHANGE,,,devctla.gop,S0,
12:19:50,6200,VSP_C102,CHANGE,,,devctla.gop,S0,
12:19:48,6200,VSP_C102,CHANGE,,,devctla.gop,S1,
12:19:40,6200,VSP_C102,CHANGE,,,devctla.gop,S0,
12:19:40,6200,VSP_C102,CHANGE,,,devctla.gop,S0,
12:19:39,6200,VSP_C102,CHANGE,,,devctla.gop,S1,
12:19:29,6200,SCM_CTAdd,STEPTO,ACK,,,,
12:19:19,4500,KV_4503,CHANGE,,,devctla.gop,S1,
12:19:18,6200,SCM_CTAdd,STEPTO,,L 00,,,
12:18:42,6100,FI_VC02,DISABL,,J 00,Polymerizer VCM Flow,,
12:18:40,6100,FIC_VC01,DISABL,,J 00,Polymerizer VCM Flow,,
12:17:15,6200,TIC_P301,PVLOW,OK,L 00,PLY-3E temperature control,57.257,
12:15:02,4200,C_4202A,BAD PV,ACK,,,,
12:14:22,4200,C_4202A,OFFNRM,ACK,,FAILING Alarms,,
12:13:34,4200,C_4202A,OFFNRM,,L 00,FAILING Alarms,ON,
12:13:34,4200,C_4202A,BAD PV,,L 00,,TRIP,
12:11:42,6200,AUX_Poly2,OFFNRM,OK,L 00,current change rate alarm,OFF,
12:11:41,6200,AUX_Poly2,CHANGE,,,AckCurrAlm1.PVFL,ON,
12:08:41,6100,PIC_FL05,ENABLE,,J 00,PW Flushing Water Pressure Controller,,
12:08:32,6100,FIC_FL02,ENABLE,,J 00,High Pressure Flush Water to Polymerizers,,
12:07:57,6200,VSP_P314,OFFNRM,,J 00,VSPP314 Open,ON,
12:07:41,IOLINK_01A,AI_1F_LB_21,HART Diagnostic Underrun,OK,H 15,,PartnerB_03,
12:07:29,6100,PIC_R105,PVHIGH,OK,L 00,Control CN-2F  VCM Pressure,0.409862,MPa
12:07:17,6200,VSP_P314,OFFNRM,OK,J 00,VSPP314 Close,OFF,
12:07:14,4600,SCM_R4610A,STEPTO,ACK,,,,
